id_link;delete
2960100;1
2960114;0
2960109;0
2960137;1
2960110;1
2960101;1
2960102;1
2960173;1
2960169;0
2960170;1
2960103;1
2960104;1
2960090;1
2960091;1
2960092;1
2960093;1
2960094;1
2960084;1
2960085;1
2960076;0
2960077;1
2960923;1
2960924;1
2960925;1
2960926;1
2960927;1
2960928;1
2960953;1
2960954;1
2960078;0
2961007;1
2961008;1
2961009;1
2961031;1
2961032;1
2961033;1
2961034;1
2961035;1
2961019;1
2961020;1
2961021;0
2961022;1
2960992;1
2961087;1
2961088;1
2961092;1
2961093;1
2961094;1
2961095;1
2961096;1
2961097;1
2961098;1
2961127;1
2960993;1
2961167;1
2961168;1
2961170;1
2961158;1
2961141;1
2961142;1
2961143;1
2961144;1
2961145;1
2961146;1
2961147;1
2961148;1
2961149;1
2961150;1
2960079;1
2961206;1
2961200;1
2960080;1
2961231;0
2960081;1
2961255;1
2960082;1
2961298;1
2961267;0
2961318;0
2960073;1
2961381;1
2961450;0
2961471;1
2961472;1
2961473;1
2961613;0
2961614;1
2961615;0
2961616;1
2961617;0
2961643;0
2961644;1
2961620;1
2961621;0
2961474;1
2961656;0
2961657;1
2961650;0
2961661;1
2961651;1
2961475;1
2961662;1
2961740;0
2961663;1
2961756;1
2961758;1
2961664;1
2961801;1
2961798;1
2961800;1
2961792;1
2961779;0
2961804;1
2961781;1
2961805;1
2961665;1
2961811;1
2961812;1
2961813;1
2961815;1
2961817;1
2961818;1
2961874;1
2961873;1
2961870;1
2961871;1
2961872;1
2961869;1
2961866;1
2961867;1
2961868;1
2961863;1
2961864;1
2961865;1
2961859;1
2961860;1
2961861;1
2961862;1
2961476;1
2961876;1
2961875;0
2961877;1
2961477;1
2961878;1
2961879;1
2961880;1
2961478;0
2961881;0
2961882;1
2961883;0
2961884;1
2961885;1
2961886;1
2961887;0
2961888;1
2961889;0
2961890;1
2961891;0
2961892;1
2961893;0
2961894;1
2961895;0
2961896;1
2961897;0
2961898;1
2961899;0
2961900;1
2961901;0
2961902;1
2961903;1
2961904;1
2961905;1
2961906;1
2961907;1
2961908;1
2961909;1
2961910;1
2961911;1
2961912;1
2961913;1
2961479;1
2961946;1
2961947;1
2961948;1
2961942;1
2961949;1
2961943;1
2961944;1
2961950;1
2961945;1
2961940;1
2961941;1
2961935;1
2961936;1
2961952;1
2961937;1
2961938;1
2961953;1
2961933;1
2961934;1
2961930;1
2961955;1
2961932;1
2961926;1
2961928;1
2961924;1
2961914;1
2961916;1
2961961;1
2961918;1
2961962;1
2961920;1
2961480;0
2961965;0
2961524;1
2961526;1
2961968;1
2960054;1
2960048;1
2962036;1
2962023;1
2960041;1
2960035;1
2960036;1
2962148;1
2960037;1
2960030;0
2960031;0
2962217;0
2960032;0
2962268;1
2960026;1
2962327;1
2960027;1
2961328;1
2961330;1
2962048;1
2962049;1
2962050;1
2962051;1
2962052;1
2962053;1
2961321;0
2961324;0
2962426;1
2960862;0
2962427;1
2961398;0
2961399;0
2961396;0
2962462;0
2962465;1
2962463;0
2962464;0
2962451;0
2960854;1
2962483;1
2962484;1
2962471;1
2960855;1
2962494;1
2962495;1
2960856;1
2962507;1
2962524;1
2962541;1
2962508;1
2962556;1
2962555;1
2962553;1
2962557;1
2962554;1
2962558;1
2962552;1
2962559;1
2962550;1
2962560;1
2962551;1
2962561;1
2962548;1
2962562;1
2962549;1
2962563;1
2962547;1
2962564;1
2960847;0
2962565;1
2962545;1
2962566;1
2962546;1
2962567;1
2960849;0
2962568;1
2962544;1
2962569;1
2960851;0
2962570;1
2962543;1
2962571;1
2962542;1
2962572;1
2961312;0
2962573;1
2960843;0
2962574;1
2960845;0
2962575;1
2962540;1
2962576;1
2962037;1
2962577;1
2962041;1
2962578;1
2960837;0
2962579;1
2960839;0
2962580;1
2962538;1
2962581;1
2962539;0
2962582;1
2960841;0
2962583;1
2960835;0
2962584;1
2962585;1
2962609;1
2962610;1
2962611;1
2962612;1
2962613;1
2962614;1
2962607;1
2962615;1
2962608;1
2962616;1
2962605;1
2962618;1
2962603;1
2962619;1
2962604;1
2962620;1
2962586;1
2962628;1
2962629;1
2962630;0
2962631;1
2962632;1
2962633;1
2962626;1
2962634;1
2962621;1
2962635;1
